invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I358795,C806958,Male,55,Cosmetics,5,124.41,Credit Card,13/02/2022,Zorlu Center
I586232,C255894,Female,56,Toys,1,55.64,Credit Card,12/12/2021,Mall of Istanbul
I600186,C585316,Female,65,Clothing,5,60.23,Credit Card,01/03/2021,Mall of Istanbul
I256730,C836512,Male,54,Food & Beverage,3,23.42,Cash,27/04/2022,Cevahir AVM
I970910,C657683,Female,42,Books,4,48.27,Credit Card,19/08/2022,Metrocity
I484681,C134884,Male,25,Cosmetics,1,76.98,Credit Card,11/01/2023,Kanyon
I249503,C345388,Male,20,Clothing,2,61.06,Cash,14/06/2021,Cevahir AVM
I754811,C941625,Female,55,Food & Beverage,2,36.99,Cash,17/11/2021,Zorlu Center
I627035,C276524,Female,66,Shoes,3,121.42,Cash,08/07/2022,Torium
I748143,C502015,Female,24,Toys,5,64.2,Credit Card,30/12/2021,Istinye Park
I552366,C967894,Male,56,Technology,1,301.94,Cash,18/06/2021,Cevahir AVM
I165725,C647100,Female,67,Clothing,2,38.97,Credit Card,12/05/2021,Istinye Park
I229981,C684065,Male,61,Cosmetics,3,105.58,Credit Card,16/08/2022,Kanyon
I184654,C252858,Female,41,Clothing,3,52.06,Debit Card,09/01/2023,Emaar Square Mall
I691723,C640209,Female,51,Books,2,59.52,Credit Card,23/03/2021,Metropol AVM
I419030,C187746,Female,32,Clothing,3,115.1,Debit Card,20/07/2021,Zorlu Center
I428947,C636052,Male,56,Technology,3,215.74,Debit Card,09/12/2022,Metropol AVM
I655839,C381821,Female,50,Souvenir,5,27.75,Cash,14/06/2022,Viaport Outlet
I373538,C639785,Female,45,Clothing,4,56.22,Credit Card,29/01/2021,Torium
I431236,C535720,Female,40,Shoes,2,127.82,Credit Card,04/01/2022,Cevahir AVM
I628178,C114850,Male,41,Clothing,3,46.39,Cash,27/07/2022,Metropol AVM
I665894,C787445,Male,19,Books,3,60.3,Debit Card,08/11/2021,Metropol AVM
I589492,C875205,Female,47,Shoes,5,56.97,Cash,20/02/2022,Istinye Park
I356840,C400101,Male,44,Clothing,2,73.59,Cash,03/07/2021,Mall of Istanbul
I573254,C229604,Female,65,Shoes,5,140.94,Cash,19/02/2021,Cevahir AVM
I449457,C899389,Female,22,Food & Beverage,2,28.4,Credit Card,10/04/2021,Mall of Istanbul
I765987,C420269,Male,62,Shoes,2,69.66,Credit Card,13/10/2022,Zorlu Center
I370936,C904865,Male,37,Books,3,40.28,Debit Card,13/05/2021,Viaport Outlet
I339931,C886272,Female,31,Technology,1,195.05,Cash,07/01/2022,Viaport Outlet
I339629,C742660,Female,59,Clothing,4,67.29,Cash,01/02/2023,Istinye Park
I305041,C247538,Male,58,Shoes,4,68.68,Cash,01/01/2021,Istinye Park
I798361,C317442,Male,64,Toys,3,98.3,Credit Card,18/06/2022,Viaport Outlet
I831912,C441958,Male,44,Clothing,3,68.15,Debit Card,27/01/2023,Emaar Square Mall
I517113,C829228,Female,40,Clothing,5,102.82,Cash,16/09/2022,Zorlu Center
I168148,C410257,Male,18,Toys,2,51.94,Cash,24/07/2021,Metrocity
I877089,C832811,Female,55,Books,4,29.47,Cash,03/04/2021,Mall of Istanbul
I748531,C986567,Male,66,Shoes,3,140.82,Debit Card,08/04/2022,Zorlu Center
I351995,C778487,Female,22,Food & Beverage,5,29.32,Credit Card,28/01/2022,Viaport Outlet
I778843,C794225,Female,23,Books,3,33.79,Credit Card,20/07/2021,Emaar Square Mall
I672843,C323141,Male,56,Cosmetics,1,104.97,Cash,14/10/2022,Torium
I356508,C236587,Female,45,Clothing,5,103.22,Debit Card,30/01/2023,Kanyon
I903591,C319928,Male,33,Souvenir,2,22.17,Credit Card,08/02/2021,Zorlu Center
I996942,C100930,Female,64,Food & Beverage,4,31.05,Cash,11/04/2021,Metropol AVM
I206530,C743983,Female,26,Technology,4,80.61,Cash,13/11/2022,Zorlu Center
I704365,C429968,Male,69,Clothing,3,45.55,Debit Card,07/01/2021,Cevahir AVM
I922352,C594191,Male,45,Cosmetics,4,131.4,Cash,15/03/2021,Emaar Square Mall
I560337,C433100,Male,48,Shoes,4,69.5,Cash,18/03/2022,Metropol AVM
I824839,C354968,Male,56,Shoes,1,68.33,Cash,29/12/2022,Torium
I905889,C443180,Female,61,Clothing,3,94.85,Credit Card,04/06/2022,Istinye Park
I559773,C682807,Female,51,Souvenir,1,10.74,Cash,27/09/2021,Kanyon
I308261,C361835,Female,58,Souvenir,1,11.5,Cash,01/03/2021,Cevahir AVM
I864469,C871068,Female,55,Toys,2,76.89,Debit Card,22/10/2021,Viaport Outlet
I441097,C472481,Male,62,Clothing,5,98.2,Debit Card,26/05/2022,Kanyon
I415139,C944761,Male,20,Technology,3,191.15,Debit Card,08/06/2021,Zorlu Center
I271829,C736781,Male,67,Toys,3,94.94,Cash,22/11/2021,Istinye Park
I371836,C891314,Female,34,Cosmetics,2,59.11,Cash,17/12/2021,Emaar Square Mall
I538974,C427670,Female,20,Cosmetics,1,77.43,Cash,12/08/2022,Istinye Park
I302283,C765813,Male,55,Clothing,2,39.54,Debit Card,29/10/2021,Metrocity
I296769,C711516,Male,47,Souvenir,1,36.87,Cash,04/10/2022,Zorlu Center
I661353,C139044,Female,58,Clothing,2,61.33,Credit Card,27/02/2023,Kanyon
I323165,C982767,Male,43,Shoes,3,146.61,Credit Card,30/01/2021,Cevahir AVM
I723587,C415492,Female,66,Clothing,2,105.51,Cash,26/09/2022,Kanyon
I635822,C927297,Female,60,Toys,2,52.77,Credit Card,08/04/2021,Viaport Outlet
I587879,C187397,Male,56,Toys,2,62.31,Credit Card,16/12/2022,Istinye Park
I664685,C908923,Male,28,Books,1,15.56,Cash,14/01/2022,Torium
I882038,C344799,Female,43,Shoes,2,93.75,Credit Card,31/10/2022,Mall of Istanbul
I453531,C961707,Male,63,Books,2,59.83,Debit Card,18/07/2022,Metropol AVM
I363160,C276762,Female,45,Shoes,1,38.63,Cash,06/07/2022,Metrocity
I679879,C695308,Male,64,Technology,2,76.81,Cash,17/09/2021,Torium
I320884,C267020,Female,59,Toys,1,77.25,Cash,18/05/2021,Istinye Park
I123247,C509786,Female,63,Clothing,5,25.03,Cash,03/02/2023,Metropol AVM
I124300,C545844,Female,34,Souvenir,3,34.2,Cash,04/11/2021,Kanyon
I567281,C138239,Female,25,Shoes,3,166.57,Cash,12/10/2022,Emaar Square Mall
I707086,C807544,Female,64,Technology,3,189.53,Debit Card,10/01/2023,Metropol AVM
I633556,C376685,Female,33,Souvenir,2,43.06,Cash,23/01/2022,Istinye Park
I448951,C324114,Female,53,Cosmetics,4,39.27,Credit Card,27/10/2021,Metropol AVM
I374329,C132814,Female,26,Clothing,4,76.87,Credit Card,07/01/2022,Mall of Istanbul
I819064,C709076,Male,37,Clothing,1,82.82,Credit Card,18/11/2022,Viaport Outlet
I842139,C933634,Female,68,Shoes,4,175.67,Debit Card,04/10/2021,Metrocity
I532315,C579048,Female,32,Clothing,2,97.84,Credit Card,19/08/2021,Metropol AVM
I616588,C770200,Female,38,Clothing,3,27.1,Cash,03/03/2021,Viaport Outlet
I336584,C889737,Female,27,Food & Beverage,5,74.21,Credit Card,21/02/2021,Torium
I662332,C490876,Female,29,Shoes,2,150.35,Cash,29/06/2021,Cevahir AVM
I937646,C522310,Male,34,Food & Beverage,5,66.7,Credit Card,18/07/2021,Metropol AVM
I476896,C999998,Female,18,Books,4,51.39,Credit Card,27/04/2021,Emaar Square Mall
I148984,C965232,Female,63,Shoes,3,44.58,Credit Card,19/11/2022,Viaport Outlet
I402918,C139128,Female,46,Technology,1,193.42,Credit Card,25/02/2021,Emaar Square Mall
I364712,C319309,Male,31,Toys,4,42.28,Debit Card,27/08/2022,Cevahir AVM
I220151,C520280,Male,39,Clothing,1,55.35,Credit Card,19/03/2021,Emaar Square Mall
I555808,C159497,Female,48,Shoes,4,143.59,Credit Card,04/04/2021,Kanyon
I233767,C568644,Male,64,Clothing,1,64.92,Credit Card,14/11/2021,Zorlu Center
I748663,C426042,Male,61,Technology,2,320.01,Cash,16/10/2022,Istinye Park
I803550,C435825,Female,30,Souvenir,2,28.54,Credit Card,05/05/2021,Emaar Square Mall
I236330,C240700,Male,39,Clothing,1,29.11,Cash,06/04/2022,Metrocity
I580754,C857905,Female,53,Food & Beverage,5,18.38,Cash,30/07/2021,Metrocity
I401648,C479523,Female,45,Technology,3,219.15,Cash,07/05/2022,Metrocity
I788519,C161420,Female,52,Cosmetics,2,59.05,Credit Card,15/12/2022,Kanyon
I113986,C439708,Female,58,Books,3,58.5,Credit Card,24/06/2021,Emaar Square Mall
I686146,C897207,Male,23,Food & Beverage,5,59.57,Cash,30/11/2021,Torium
I229312,C380873,Female,23,Clothing,4,81.6,Cash,12/01/2022,Emaar Square Mall
I112666,C769883,Male,28,Souvenir,5,44.32,Credit Card,14/06/2021,Istinye Park
I400804,C569102,Female,67,Shoes,3,59.05,Debit Card,09/12/2022,Emaar Square Mall
I234633,C165047,Female,50,Shoes,2,111.64,Cash,04/08/2021,Zorlu Center
I388998,C853719,Female,59,Cosmetics,5,119.64,Debit Card,11/06/2021,Emaar Square Mall
I950937,C100580,Female,49,Clothing,5,59.77,Debit Card,23/09/2021,Viaport Outlet
I728776,C595065,Female,20,Food & Beverage,2,53.73,Cash,02/06/2022,Metrocity
I807611,C964785,Female,39,Clothing,1,110.58,Cash,08/04/2021,Viaport Outlet
I384806,C243075,Male,37,Clothing,3,95.13,Debit Card,18/07/2022,Metropol AVM
I894824,C178272,Female,44,Souvenir,5,39.67,Debit Card,14/02/2023,Istinye Park
I130535,C402473,Male,48,Food & Beverage,2,63.32,Credit Card,20/06/2022,Metropol AVM
I475713,C634416,Male,69,Souvenir,2,18.18,Debit Card,06/05/2021,Cevahir AVM
I938688,C165019,Female,31,Food & Beverage,1,24.96,Cash,11/10/2022,Emaar Square Mall
I451279,C648409,Female,55,Food & Beverage,3,72.96,Debit Card,25/02/2023,Istinye Park
I921654,C539458,Female,58,Cosmetics,1,117.73,Credit Card,25/12/2022,Mall of Istanbul
I701661,C429347,Male,18,Technology,4,168.12,Credit Card,06/08/2022,Istinye Park
I747972,C456267,Female,37,Clothing,1,44.62,Debit Card,15/01/2022,Emaar Square Mall
I589570,C567162,Female,67,Shoes,2,171.8,Cash,11/12/2022,Metrocity
I556551,C272923,Female,38,Cosmetics,1,137.2,Credit Card,09/01/2021,Torium
I373109,C197563,Female,37,Clothing,3,41.93,Cash,25/02/2023,Torium
I124538,C531242,Female,40,Shoes,2,59.1,Credit Card,04/07/2022,Istinye Park
I994498,C865442,Female,52,Clothing,4,76.43,Cash,30/07/2022,Torium
I301664,C441347,Male,21,Technology,3,359.78,Credit Card,31/07/2022,Istinye Park
I591234,C320930,Male,68,Clothing,4,68.68,Credit Card,05/02/2022,Zorlu Center
I999684,C225208,Female,33,Books,2,30.92,Credit Card,02/10/2021,Torium
I239182,C657899,Female,21,Clothing,2,29.54,Credit Card,28/04/2021,Metropol AVM
I572525,C636587,Female,33,Clothing,4,110.46,Credit Card,09/08/2022,Metropol AVM
I258338,C781904,Male,64,Toys,4,29.96,Cash,24/06/2021,Emaar Square Mall
I284064,C857175,Female,47,Cosmetics,1,123.67,Credit Card,15/06/2021,Istinye Park
I314020,C991444,Female,49,Toys,4,60.25,Cash,09/12/2021,Viaport Outlet
I723094,C480669,Male,66,Toys,2,52.24,Debit Card,30/10/2022,Torium
I997421,C822015,Male,38,Food & Beverage,5,72.12,Credit Card,27/03/2022,Torium
I715270,C423815,Female,24,Cosmetics,1,41.67,Credit Card,09/08/2021,Torium
I745914,C748969,Male,42,Clothing,3,75.55,Cash,26/07/2022,Kanyon
I219176,C335410,Male,54,Shoes,2,77.45,Credit Card,19/02/2022,Kanyon
I318126,C572110,Male,49,Toys,3,41.96,Cash,30/03/2021,Emaar Square Mall
I318969,C529749,Female,34,Souvenir,4,13.89,Credit Card,26/11/2022,Istinye Park
I222409,C451978,Female,28,Toys,4,51.39,Debit Card,08/02/2023,Istinye Park
I647707,C434077,Female,40,Clothing,1,106.94,Credit Card,15/12/2022,Torium
I353618,C769190,Female,57,Souvenir,4,28.41,Debit Card,21/09/2022,Mall of Istanbul
I869598,C241143,Male,19,Books,2,15.09,Cash,29/08/2022,Metrocity
I150015,C261190,Female,27,Books,3,34.49,Debit Card,12/11/2021,Mall of Istanbul
I872838,C188351,Female,30,Shoes,3,54.24,Credit Card,30/05/2021,Kanyon
I222096,C812470,Male,60,Clothing,5,66.24,Debit Card,02/07/2021,Istinye Park
I731347,C736209,Female,38,Food & Beverage,1,70.19,Debit Card,21/03/2022,Viaport Outlet
I285340,C642610,Male,37,Food & Beverage,2,53.79,Cash,20/08/2022,Mall of Istanbul
I210687,C245781,Male,41,Technology,2,98.92,Credit Card,19/01/2021,Torium
I974371,C812898,Male,45,Technology,5,224.98,Cash,28/09/2022,Torium
I511357,C753208,Male,26,Toys,5,79.16,Cash,16/02/2021,Istinye Park
I835716,C854693,Male,68,Clothing,1,72.56,Cash,06/06/2021,Emaar Square Mall
I205878,C887936,Male,38,Souvenir,3,25.03,Credit Card,26/02/2021,Emaar Square Mall
I827270,C395776,Female,37,Books,2,34.05,Debit Card,16/03/2022,Cevahir AVM
I298286,C970542,Female,41,Clothing,5,58.93,Credit Card,29/09/2022,Emaar Square Mall
I873290,C617779,Male,23,Cosmetics,4,46.18,Cash,25/06/2022,Mall of Istanbul
I874684,C208714,Male,56,Toys,1,38.91,Cash,11/01/2021,Emaar Square Mall
I264899,C706697,Female,19,Food & Beverage,2,68.32,Credit Card,11/05/2022,Metrocity
I424767,C973666,Male,53,Food & Beverage,1,61.55,Credit Card,28/02/2023,Cevahir AVM
I961882,C454563,Male,19,Cosmetics,1,45.25,Cash,10/06/2021,Cevahir AVM
I979858,C678795,Female,55,Food & Beverage,5,22.46,Cash,01/06/2022,Mall of Istanbul
I479989,C741018,Female,51,Shoes,4,83.47,Credit Card,19/11/2022,Emaar Square Mall
I515515,C306341,Female,34,Shoes,2,174.32,Credit Card,24/09/2022,Mall of Istanbul
I143585,C721626,Female,52,Books,3,39.46,Cash,01/01/2023,Metropol AVM
I471369,C974232,Female,48,Shoes,4,68.88,Debit Card,30/01/2023,Emaar Square Mall
I164044,C587475,Male,53,Souvenir,1,30.65,Cash,12/06/2021,Torium
I542296,C301490,Male,39,Cosmetics,1,136.31,Debit Card,14/02/2022,Istinye Park
I209556,C878361,Female,50,Books,2,61.5,Credit Card,29/11/2022,Metropol AVM
I626981,C556217,Male,35,Shoes,5,171.47,Debit Card,30/07/2022,Metropol AVM
I981691,C761295,Male,50,Toys,5,78.29,Cash,07/03/2023,Mall of Istanbul
I867595,C725880,Male,64,Technology,5,220.91,Debit Card,04/05/2022,Kanyon
I300235,C901462,Male,38,Toys,2,40.21,Cash,29/10/2021,Mall of Istanbul
I125939,C524024,Female,21,Clothing,1,88.06,Credit Card,13/01/2022,Cevahir AVM
I252906,C746089,Male,41,Food & Beverage,5,24.99,Debit Card,21/04/2021,Metropol AVM
I642335,C255685,Female,64,Books,3,25.26,Cash,04/04/2022,Metropol AVM
I388249,C587507,Female,55,Toys,2,57.34,Debit Card,06/10/2021,Cevahir AVM
I175766,C339492,Male,35,Clothing,3,106.91,Cash,23/06/2022,Cevahir AVM
I508923,C806473,Female,68,Technology,1,242.31,Debit Card,31/03/2022,Metrocity
I515192,C508683,Female,22,Food & Beverage,5,47.2,Debit Card,12/05/2022,Kanyon
I668550,C842385,Female,50,Clothing,4,44.0,Cash,11/04/2022,Emaar Square Mall
I487261,C345410,Female,63,Cosmetics,2,124.47,Debit Card,10/08/2022,Metropol AVM
I910208,C131428,Male,47,Souvenir,4,21.27,Cash,24/07/2022,Metropol AVM
I785440,C955804,Female,42,Technology,2,330.2,Cash,09/11/2022,Emaar Square Mall
I752664,C842114,Female,36,Books,1,30.72,Credit Card,08/06/2022,Emaar Square Mall
I554589,C477858,Male,40,Technology,5,272.68,Credit Card,23/11/2021,Viaport Outlet
I237848,C518463,Male,42,Clothing,2,100.41,Cash,17/11/2021,Mall of Istanbul
I717075,C816067,Male,66,Books,1,29.34,Cash,11/06/2022,Cevahir AVM
I227948,C579261,Female,34,Clothing,4,110.42,Credit Card,08/08/2022,Mall of Istanbul
I679304,C493843,Male,46,Cosmetics,4,147.4,Debit Card,18/02/2023,Zorlu Center
I502690,C341659,Female,64,Shoes,2,100.47,Cash,11/08/2022,Cevahir AVM
I599046,C325372,Male,18,Clothing,2,74.92,Debit Card,02/04/2022,Metrocity
I551269,C569209,Female,60,Cosmetics,3,92.6,Debit Card,13/06/2022,Metrocity
I121959,C558348,Female,29,Souvenir,3,26.98,Credit Card,02/09/2021,Kanyon
I760890,C774904,Male,28,Cosmetics,2,51.48,Cash,24/05/2022,Viaport Outlet
I850216,C251223,Male,62,Toys,2,52.3,Cash,03/12/2021,Emaar Square Mall
I890180,C621163,Male,68,Shoes,3,119.32,Credit Card,28/05/2022,Viaport Outlet
I328576,C400753,Female,18,Books,2,41.11,Debit Card,09/04/2022,Metropol AVM
I637833,C977429,Female,50,Clothing,1,112.03,Credit Card,19/05/2021,Metropol AVM
I265838,C424281,Female,54,Clothing,5,84.04,Credit Card,12/08/2022,Torium
I435674,C958393,Female,34,Technology,1,247.95,Credit Card,04/01/2021,Metropol AVM
I979989,C674414,Female,44,Clothing,4,123.79,Credit Card,20/08/2021,Istinye Park
I161087,C256036,Male,18,Food & Beverage,5,57.97,Debit Card,18/12/2022,Istinye Park
I693128,C116055,Female,36,Toys,5,47.64,Cash,06/08/2022,Viaport Outlet
I218451,C711232,Female,25,Clothing,4,114.63,Credit Card,19/12/2021,Mall of Istanbul
I547600,C131592,Female,46,Food & Beverage,3,39.43,Credit Card,05/11/2022,Emaar Square Mall
I937437,C405288,Female,51,Clothing,4,65.4,Debit Card,21/03/2022,Kanyon
I539792,C695276,Male,23,Toys,3,62.3,Debit Card,29/08/2022,Viaport Outlet
I139353,C387131,Female,46,Food & Beverage,2,64.05,Debit Card,01/01/2023,Cevahir AVM
I293075,C911414,Female,49,Technology,2,174.1,Credit Card,26/12/2022,Mall of Istanbul
I314283,C964855,Female,18,Books,3,32.83,Cash,17/11/2021,Torium
I414877,C599708,Female,51,Clothing,1,101.42,Debit Card,16/02/2022,Metropol AVM
I165318,C282248,Male,26,Clothing,2,52.5,Credit Card,16/10/2021,Mall of Istanbul
I865313,C633628,Female,65,Toys,4,90.19,Credit Card,19/10/2022,Cevahir AVM
I582690,C884350,Female,55,Clothing,5,117.71,Cash,22/04/2022,Emaar Square Mall
I516880,C226148,Female,59,Clothing,5,101.86,Debit Card,21/07/2022,Viaport Outlet
I691460,C774413,Male,30,Cosmetics,1,136.06,Debit Card,04/01/2023,Emaar Square Mall
I840976,C922778,Female,59,Clothing,4,77.17,Credit Card,18/09/2022,Torium
I881239,C155101,Female,57,Clothing,4,95.12,Debit Card,21/07/2021,Kanyon
I193264,C551905,Female,47,Technology,3,168.15,Cash,07/02/2022,Kanyon
I870746,C791389,Male,69,Technology,4,285.21,Cash,22/01/2021,Metrocity
I913168,C238862,Male,56,Clothing,4,43.01,Cash,19/08/2022,Zorlu Center
I325281,C706207,Male,34,Cosmetics,4,35.56,Credit Card,21/12/2022,Viaport Outlet
I737147,C814461,Male,33,Toys,5,91.47,Credit Card,06/06/2022,Istinye Park
I998613,C375952,Female,56,Technology,2,121.34,Cash,28/06/2022,Kanyon
I494070,C909028,Male,54,Cosmetics,3,137.27,Debit Card,15/07/2022,Istinye Park
I452228,C733527,Female,38,Clothing,2,82.57,Credit Card,06/01/2021,Mall of Istanbul
I531839,C746473,Female,29,Technology,3,316.53,Credit Card,02/10/2021,Istinye Park
I369536,C942222,Male,28,Books,5,19.97,Cash,07/01/2023,Cevahir AVM
I417824,C735763,Female,52,Technology,2,182.27,Cash,23/05/2021,Metropol AVM
I357426,C306499,Female,26,Cosmetics,3,48.23,Debit Card,09/02/2022,Zorlu Center
I277789,C294851,Female,65,Cosmetics,4,64.48,Credit Card,16/06/2022,Istinye Park
I613153,C755287,Male,67,Cosmetics,1,90.04,Debit Card,21/03/2022,Zorlu Center
I842452,C197276,Female,49,Clothing,1,37.08,Credit Card,04/03/2022,Zorlu Center
I937291,C347302,Male,24,Souvenir,5,44.52,Debit Card,09/02/2022,Cevahir AVM
I225657,C131452,Female,24,Clothing,4,76.83,Credit Card,19/04/2022,Metropol AVM
I335167,C605050,Female,46,Shoes,1,140.87,Credit Card,07/11/2022,Emaar Square Mall
I781669,C879136,Female,27,Shoes,4,184.51,Cash,01/09/2022,Metrocity
I580671,C386265,Female,49,Food & Beverage,1,25.45,Credit Card,30/12/2021,Zorlu Center
I819094,C185267,Male,56,Shoes,1,167.84,Debit Card,20/01/2023,Emaar Square Mall
I170467,C632897,Female,56,Technology,1,337.17,Debit Card,19/09/2022,Cevahir AVM
I283734,C686290,Male,26,Clothing,3,92.37,Credit Card,04/01/2023,Emaar Square Mall
I722794,C826435,Male,52,Technology,2,257.44,Cash,28/11/2021,Viaport Outlet
I209751,C220729,Female,50,Clothing,1,111.05,Credit Card,18/07/2022,Torium
I481050,C668022,Male,63,Technology,5,193.08,Cash,14/01/2022,Cevahir AVM
I911774,C297792,Female,36,Clothing,5,108.57,Credit Card,17/08/2022,Istinye Park
I792517,C741024,Male,51,Cosmetics,3,112.76,Credit Card,07/07/2022,Metropol AVM
I561079,C629474,Female,41,Clothing,1,37.2,Cash,02/12/2021,Viaport Outlet
I468452,C685265,Male,60,Cosmetics,2,121.32,Cash,02/10/2021,Emaar Square Mall
I206081,C419010,Male,65,Clothing,3,112.97,Cash,02/11/2021,Metropol AVM
I713333,C223042,Male,19,Clothing,3,69.08,Debit Card,29/06/2021,Cevahir AVM
I658986,C788442,Male,62,Shoes,5,71.18,Debit Card,14/06/2022,Zorlu Center
I210078,C718828,Female,59,Books,2,13.87,Debit Card,26/12/2021,Viaport Outlet
I967055,C546048,Female,63,Books,4,25.31,Cash,23/08/2022,Emaar Square Mall
I122671,C288940,Male,43,Clothing,5,106.31,Debit Card,07/01/2021,Viaport Outlet
I518400,C861109,Female,23,Shoes,2,132.36,Credit Card,29/09/2021,Viaport Outlet
I455528,C868055,Female,50,Clothing,5,75.23,Credit Card,11/01/2022,Mall of Istanbul
I710490,C340004,Female,18,Technology,2,267.36,Debit Card,25/07/2022,Torium
I151663,C641264,Female,66,Cosmetics,1,125.87,Credit Card,18/06/2021,Zorlu Center
I115708,C664138,Female,33,Toys,5,26.35,Cash,31/05/2022,Istinye Park
I978338,C576873,Female,59,Toys,3,98.84,Debit Card,07/07/2022,Mall of Istanbul
I411955,C152474,Female,58,Cosmetics,5,100.96,Cash,23/07/2021,Kanyon
I233883,C328278,Female,58,Food & Beverage,2,24.96,Debit Card,03/02/2023,Viaport Outlet
I418394,C133498,Male,52,Cosmetics,1,68.6,Cash,12/04/2022,Zorlu Center
I212547,C932014,Female,41,Technology,5,293.32,Credit Card,10/07/2021,Mall of Istanbul
I659042,C365836,Male,56,Clothing,4,77.09,Cash,27/08/2021,Metropol AVM
I851102,C754633,Female,54,Clothing,5,104.2,Credit Card,23/02/2022,Torium
I862002,C521256,Female,39,Clothing,4,75.03,Cash,23/09/2021,Cevahir AVM
I242483,C562971,Female,57,Technology,2,232.55,Cash,13/05/2021,Mall of Istanbul
I758271,C824038,Female,69,Cosmetics,5,144.06,Credit Card,03/03/2022,Metropol AVM
I314835,C601432,Female,38,Clothing,4,47.61,Cash,23/03/2022,Cevahir AVM
I501896,C360489,Female,60,Clothing,1,121.49,Cash,02/01/2022,Torium
I184896,C817503,Female,55,Cosmetics,1,35.9,Debit Card,26/10/2021,Emaar Square Mall
I577095,C840776,Female,29,Cosmetics,4,120.79,Credit Card,24/06/2021,Emaar Square Mall
I171295,C944684,Female,33,Clothing,4,72.48,Cash,09/05/2021,Metropol AVM
I843974,C627247,Female,65,Souvenir,5,20.16,Credit Card,31/01/2022,Zorlu Center
I987121,C555649,Male,59,Technology,2,210.79,Credit Card,25/04/2021,Istinye Park
I373255,C206823,Male,63,Food & Beverage,2,57.54,Debit Card,23/12/2022,Zorlu Center
I399648,C688859,Male,47,Shoes,3,79.54,Cash,20/07/2021,Emaar Square Mall
I757162,C818366,Female,54,Clothing,5,116.63,Cash,07/12/2022,Torium
I108155,C368854,Female,22,Cosmetics,1,86.94,Cash,07/04/2022,Zorlu Center
I566872,C891515,Female,51,Shoes,1,115.13,Credit Card,19/12/2021,Istinye Park
I925816,C632934,Female,57,Food & Beverage,1,41.36,Credit Card,06/04/2021,Kanyon
I474705,C516417,Male,26,Food & Beverage,4,47.22,Credit Card,18/09/2022,Viaport Outlet
I671542,C190848,Female,21,Cosmetics,2,74.51,Credit Card,17/02/2021,Emaar Square Mall
